Artiste,Annee,Album,Url,Style
Justin Bieber,2013,Believe Acoustic,https://www.azlyrics.com/lyrics/justinbieber/iwould.html,pop
Mac Miller,2011,Best Day Ever,https://www.azlyrics.com/lyrics/macmiller/getup.html,rap
Justin Bieber,2013,Journals,https://www.azlyrics.com/lyrics/justinbieber/memphis.html,pop
Motionless in White,2010,Creatures,https://www.azlyrics.com/lyrics/motionlessinwhite/weonlycomeoutatnight232917.html,Rock\Alternatif
Justin Bieber,2013,Believe Acoustic,https://www.azlyrics.com/lyrics/justinbieber/allaroundtheworldacousticversion.html,pop
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/superman.html,rap
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/circle.html,metal
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/insomniak.html,rap
Slipknot,2019,We Are Not Your Kind,https://www.azlyrics.com/lyrics/slipknot/unsainted.html,metal
Eminem,2010,Recovery,https://www.azlyrics.com/lyrics/eminem/spacebound.html,rap
Bring Me The Horizon,2019,Music to listen to~dance to~blaze to~pray to~feed to~sleep to~talk to~grind to~trip to~breathe to~help to~hurt to~scroll to~roll to~love to~hate to~learn Too~plot to~play to~be to~feel to~breed to~sweat to~dream to~hide to~live to~die to~GO TO,https://www.azlyrics.com/lyrics/bringmethehorizon/895547.html,metal
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/jsonmyfeet.html,rap
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/thefinerthings.html,rap
Mac Miller,2011,On And On And Beyond,https://www.azlyrics.com/lyrics/macmiller/lifeainteasy.html,rap
Slipknot,2008,All Hope Is Gone,https://www.azlyrics.com/lyrics/slipknot/psychosocial.html,metal
Slipknot,2008,All Hope Is Gone,https://www.azlyrics.com/lyrics/slipknot/vendetta.html,metal
Bring Me The Horizon,2004,The Bedroom Sessions,https://www.azlyrics.com/lyrics/bringmethehorizon/dragonslaying.html,metal
Eminem,2000,The Marshall Mathers LP,https://www.azlyrics.com/lyrics/eminem/drugballad.html,rap
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/flyinhernikes.html,rap
Mac Miller,2013,Watching Movies With The Sound Off,https://www.azlyrics.com/lyrics/macmiller/gees.html,rap
Eminem,2014,Shady XV,https://www.azlyrics.comtps://www.azlyrics.com/lyrics/d12/bane.html,rap
Eminem,2009,Relapse,https://www.azlyrics.com/lyrics/eminem/paulskit77660.html,rap
Bring Me The Horizon,2004,The Bedroom Sessions,https://www.azlyrics.com/lyrics/bringmethehorizon/shedlight.html,metal
Eminem,2010,Recovery,https://www.azlyrics.com/lyrics/eminem/talkin2myself.html,rap
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/soapskit.html,rap
Bring Me The Horizon,2019,amo,https://www.azlyrics.com/lyrics/bringmethehorizon/mantra.html,metal
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/avemaria.html,rap
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/liberate.html,metal
Slipknot,2014,.5: The Gray Chapter,https://www.azlyrics.com/lyrics/slipknot/goodbye.html,metal
Justin Bieber,2011,Under The Mistletoe,https://www.azlyrics.com/lyrics/justinbieber/thechristmassongchestnutsroastingonanopenfire.html,pop
Slipknot,2019,We Are Not Your Kind,https://www.azlyrics.com/lyrics/slipknot/notlongforthisworld.html,metal
Motionless in White,2007,The Whorror,https://www.azlyrics.com/lyrics/motionlessinwhite/weputthefuninfuneral.html,Rock\Alternatif
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/prelude30.html,metal
Mac Miller,2016,The Divine Feminine,https://www.azlyrics.com/lyrics/macmiller/dang.html,rap
Slipknot,2001,Iowa,https://www.azlyrics.com/lyrics/slipknot/thehereticanthem.html,metal
Mac Miller,2011,On And On And Beyond,https://www.azlyrics.com/lyrics/macmiller/anothernight.html,rap
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/anightinthestudio.html,rap
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/insideoutside.html,rap
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/ontheroad.html,rap
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/cruisecontrol.html,rap
Mac Miller,2011,"I Love Life, Thank You",https://www.azlyrics.com/lyrics/macmiller/peopleunderthestairs.html,rap
Motionless in White,2010,Creatures,https://www.azlyrics.com/lyrics/motionlessinwhite/creatures.html,Rock\Alternatif
