Artiste,Annee,Album,Url,Style
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/saywhatyousay.html,rap
Slipknot,2019,We Are Not Your Kind,https://www.azlyrics.com/lyrics/slipknot/orphan.html,rock
Mac Miller,2010,K.I.D.S.,https://www.azlyrics.com/lyrics/macmiller/kickingincrediblydopeshit.html,rap
Motionless in White,2014,Reincarnate,https://www.azlyrics.com/lyrics/motionlessinwhite/finaldictvm.html,rock
Justin Bieber,2013,Journals,https://www.azlyrics.com/lyrics/justinbieber/recovery.html,pop
Bring Me The Horizon,2006,Count Your Blessings,https://www.azlyrics.com/lyrics/bringmethehorizon/tellslaternottowashhisdick.html,rock
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/remindmeintro.html,rap
Eminem,2004,Encore,https://www.azlyrics.com/lyrics/eminem/justloseit.html,rap
Bring Me The Horizon,2010,"There Is A Hell, Believe Me I've Seen It. There Is A Heaven, Let's Keep It A Secret",https://www.azlyrics.com/lyrics/bringmethehorizon/fuck.html,rock
DREAMERS,2019,LAUNCH FLY LAND,https://www.azlyrics.com/lyrics/dreamers/listenoutloud.html,rock
Mac Miller,2011,Blue Slide Park,https://www.azlyrics.com/lyrics/macmiller/undertheweather.html,rap
DREAMERS,2018,LAUNCH,https://www.azlyrics.com/lyrics/dreamers/fakeittilyoumakeit.html,rock
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/patient.html,rap
DREAMERS,2016,This Album Does Not Exist,https://www.azlyrics.com/lyrics/dreamers/littlenewmoon.html,rock
Bring Me The Horizon,2004,This Is What The Edge Of Your Seat Was Made For,https://www.azlyrics.com/lyrics/bringmethehorizon/traitorsneverplayhangman.html,rock
Eminem,2014,Shady XV,https://www.azlyrics.com/lyrics/eminem/diealone.html,rap
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/takewhatyouwant.html,rap
Slipknot,2008,All Hope Is Gone,https://www.azlyrics.com/lyrics/slipknot/execute.html,rock
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/inyourhead.html,rap
Mac Miller,2010,K.I.D.S.,https://www.azlyrics.com/lyrics/macmiller/knockknock.html,rap
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/dieforme.html,rap
Mac Miller,2020,Circles,https://www.azlyrics.com/lyrics/macmiller/onceaday.html,rap
Eminem,2020,Music To Be Murdered By,https://www.azlyrics.com/lyrics/eminem/godzilla.html,rap
Billie Eilish,2019,"When We All Fall Asleep, Where Do We Go?",https://www.azlyrics.com/lyrics/billieeilish/allthegoodgirlsgotohell.html,pop
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/thenameless.html,rock
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/diluted.html,rock
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/vermilionpt2.html,rock
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/rolemodel.html,rap
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/iknow.html,rap
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/classpresident.html,rap
